分区,位置,段号,商品名,货号
OTC,A9,16,硝酸益康唑喷雾剂（乐赛仙）HC,01009725
OTC,A10,1,依马打正红花油,02001902
OTC,A10,2,酮康唑洗剂（采乐）,50040109
OTC,A10,3,硝酸益康唑喷剂（唯达宁）,01002626
OTC,A10,4,盐酸特比萘芬喷雾剂（必无忧）999D,01003900
OTC,A10,5,伤科灵喷雾剂SY,10050071
OTC,A10,6,硝酸兴度唑溶液(龙马),01001567
OTC,A10,7,盐酸特比萘芬喷雾剂（王上王）YF,01003044
OTC,A10,8,少林正骨精（天士力）,02006621
OTC,A10,9,联苯苄唑溶液（洛芙）,01004068
OTC,A10,10,硝酸益康唑溶液（建功）SQ,01005285
OTC,A10,11,云南白药气雾剂（云南白药）.,50040020
OTC,A10,12,联苯苄唑溶液SY,02007309
OTC,A10,13,盐酸特比萘芬喷雾,10000153
OTC,A10,14,布地奈德鼻喷雾剂（雷诺考特）,01002624
OTC,A11,1,活血消痛酊（羚锐),02003073
OTC,A11,2,酮康唑洗剂（康王）,01002945
OTC,A11,3,二硫化硒洗剂（999D皮炎平）,01003512
OTC,A11,4,岭南正红花油（岭南万应）,02007190
OTC,A11,5,五松肿痛酊（实正）,02004513
OTC,A11,6,红药气雾剂（沈阳）（ZM）,30050108
OTC,A11,7,麝香祛痛搽剂（参归堂）,02003934
OTC,A11,8,双虎肿痛宁喷雾剂(葵花)JM BX,02000507
OTC,A11,9,云南白药酊.,02004397
OTC,A11,10,盐酸羟甲唑啉喷雾剂（仁和G）,01002774
OTC,A11,11,盐酸特比萘芬喷雾剂（丁克）（齐鲁）QL,01001472
OTC,A11,12,云南白药气雾剂（云南白药）.,02002478
OTC,A11,13,硝酸益康唑喷雾剂（仁和中方）,01001334
OTC,A11,14,盐酸特比萘芬喷雾剂（丁克）（齐鲁）QL,01010048
OTC,A11,14,硝酸咪康唑散（达克宁）,01002266
OTC,B1,1,米诺地尔搽剂(达霏欣/安特)60ml:1.2g*60ml女士粉ds,01003284
OTC,B1,2,米诺地尔搽剂(达霏欣)60ml:3g*60ml男士黑ds,01003283
OTC,B1,3,联苯苄唑乳膏（美尔杰）（特格尔）,01004689
OTC,B1,4,复方樟脑乳膏(乐赛仙)HC,01009728
OTC,B1,5,阿昔洛韦乳膏（仁和中方）,01009816
OTC,B1,6,盐酸特比萘芬乳膏（丁克）QL,01003836
OTC,B1,7,硝酸咪康唑乳膏（达克宁）,50021040
OTC,B1,7,联苯苄唑乳膏（乐赛仙）HC,01004673
OTC,B1,8,萘替芬酮康唑乳膏（必亮）,01002818
OTC,B2,1,米诺地尔搽剂(达霏欣)60ml:1.2g*30ml女士粉ds,01003286
OTC,B2,2,米诺地尔搽剂(达霏欣)60ml:3g*30ml男士黑ds,01003285
OTC,B2,3,马应龙麝香痔疮膏（马应龙）,02003976
OTC,B2,4,复方克霉唑乳膏(愈烈双),50020025
OTC,B2,5,阿昔洛韦乳膏（乐赛仙）HC,01005390
OTC,B2,6,复方醋酸地塞米松乳膏（安泰邦）YK,01009994
OTC,B2,6,阿昔洛韦乳膏（葵花）（ 肖敏）BX,01002366
OTC,B2,7,盐酸特比萘芬乳膏（乐赛仙）HC,01004447
OTC,B2,8,克霉唑乳膏（快瑞坦）KC,01005232
OTC,B2,9,红霉素眼膏（白敬宇）,01002716
OTC,B2,10,糠酸莫米松乳膏（华邦）,01009939
OTC,B3,1,阿昔洛韦乳膏（九州通）J,01003146
OTC,B3,2,酮康唑乳膏(佳康)DSL,01009734
OTC,B3,3,双氯芬酸二乙胺乳胶剂（扶他林）,01003536
OTC,B3,4,曲安奈德益康唑乳膏（建功）SQ,01009712
OTC,B3,5,阿达帕林凝胶 （安泰邦）YK,01009800
OTC,B3,6,复方醋酸地塞米松凝胶（[金日&舒伕]）YK,01009786
OTC,B3,7,糠酸莫米松凝胶（999D皮炎平）ZM,01003148
OTC,B3,8,曲咪新乳膏（乐赛仙）HC,01005324
OTC,B3,9,双氯芬酸二乙胺乳胶剂（福元）,01009733
OTC,B3,10,曲安奈德益康唑乳膏（乐赛仙）HC,01004703
OTC,B3,11,硝酸咪康唑乳膏（乐赛仙）HC,01005346
OTC,B3,12,莫匹罗星软膏（999D）,01004310
OTC,B3,13,克霉唑乳膏（世康特）,01009701
OTC,B4,1,复方薄荷脑软膏,02001901
OTC,B4,2,曲安奈德益康唑乳膏（999D皮炎平-红）,01002271
OTC,B4,3,丁酸氢化可的松乳膏（乐赛仙）HC,01009693
OTC,B4,4,盐酸特比萘芬凝胶（时脱扑）（太极）TJG,01000049
OTC,B4,5,联苯苄唑乳膏(福元),01003932
OTC,B4,6,甲硝唑凝胶（丽芙）,01002813
OTC,B4,7,盐酸特比萘芬凝胶（必无忧）（999D）,01003093
OTC,B4,8,曲咪新乳膏（福元）,01009706
OTC,B4,9,盐酸特比萘芬凝胶（建功）SQ,01004639
OTC,B4,9,硫软膏（福元）,01009702
OTC,B4,10,糠酸莫米松凝胶（999D皮炎平-绿）,01002272
OTC,B4,11,红霉素软膏（福元）,01004018
OTC,B4,12,盐酸特比萘芬乳膏（福元）,01003936
OTC,B4,13,曲咪新乳膏（安泰邦）YK,01009673
OTC,B4,14,氧化锌软膏（乐赛仙）HC,01005142
OTC,B4,15,酮康唑乳膏(克宁),50020235
OTC,B5,1,复方醋酸地塞米松乳膏（善举）HC,01005344
OTC,B5,2,糠酸莫米松乳膏（乐赛仙）HC,01009727
OTC,B5,3,甲硝唑凝胶（乐赛仙）HC,01005144
OTC,B5,4,阿达帕林凝胶（达芙文）,01001084
OTC,B5,5,氟轻松维B6乳膏（乐赛仙）（龙虎）HC,01005345
OTC,B5,6,莫匹罗星软膏（福元）,01005600
OTC,B5,7,水杨酸软膏（信龙）,01003931
OTC,B5,8,酮康唑乳膏（乐赛仙）HC,01005138
OTC,B5,9,丁酸氢化可的松乳膏（舒夫林）YF,01003045
OTC,B5,10,复方水杨酸甲酯乳膏（联邦正通高）,01002081
OTC,B5,11,丹皮酚软膏（舒笑）SY,02005667
OTC,B5,12,糠酸莫米松乳膏（芙美松）（仙琚）（ZM）,01001324
OTC,B5,13,红霉素软膏（美尔杰）（特格尔）,01002795
OTC,B5,14,尿素乳膏（川石）,01003182
OTC,B5,15,丹皮酚软膏（善举）HC,02006463
OTC,B5,16,氟轻松维B6乳膏（美尔杰）（特格尔）,01002782
OTC,B6,1,尿素维E乳膏(纤如意)HC,01009640
OTC,B6,2,复方醋酸地塞米松乳膏（999D皮炎平）,50020020
OTC,B6,3,双氯芬酸二乙胺乳胶剂（扶他林）,01003099
OTC,B6,4,硝酸咪康唑乳膏（中大）（力达妥）,01005643
OTC,B6,5,糠酸莫米松乳膏（羚锐止痒平）,01001925
OTC,B6,6,红霉素软膏（乐赛仙）HC,01005391
OTC,B6,7,红霉素软膏（三益）,01002585
OTC,B6,8,莫匹罗星软膏（百多邦）,01001651
OTC,B6,9,盐酸阿莫罗芬乳膏（楚迪）,01003370
OTC,B6,10,紫草软膏,02006774
OTC,B6,11,鱼石脂软膏（恒健）,01003456
OTC,B6,12,曲安奈德益康唑乳膏（派瑞松）,50020019
OTC,B6,13,阿昔洛韦乳膏（太平）,50020299
OTC,B6,14,糠酸莫米松乳膏（艾洛松）,50020015
OTC,B6,15,克霉唑乳膏（辰欣）,50020318
OTC,B6,16,盐酸金霉素眼膏（辰欣）,01000083
OTC,B7,1,冻疮膏（科田）YF,01003040
OTC,B7,2,马应龙麝香痔疮膏（马应龙）,02003971
OTC,B7,3,莫匹罗星软膏（百多邦）,01004412
OTC,B7,4,甲硝唑凝胶（碧生源）（妍源）,01004880
OTC,B7,5,曲咪新乳膏（科田）YF,01002554
OTC,B7,6,曲安奈德益康唑乳膏（太平）,01004955
OTC,B7,7,丁酸氢化可的松乳膏（舒夫林）,01004749
OTC,B7,8,醋酸曲安奈德乳膏（福元）,01004616
OTC,B7,9,阿达帕林凝胶（乐赛仙）HC,01005352
OTC,B7,10,曲安奈德益康唑乳膏（邦力）,50020187
OTC,B7,11,丁酸氢化可的松乳膏（舒夫林）YF,01003045
OTC,B7,12,曲咪新乳膏（顺峰康霜）,01004751
OTC,B7,13,莫匹罗星软膏（百多邦）,10010472
OTC,B7,14,丁酸氢化可的松乳膏（邦力）,01005466
OTC,B7,15,红霉素眼膏（辰欣）,50010130
OTC,B8,1,氧化锌软膏(信龙),01004608
OTC,B8,2,复方薄荷脑软膏（曼秀雷敦）,01004586
OTC,B8,3,丁酸氢化可的松乳膏(尤卓尔）（ZM）,01002697
OTC,B8,4,烧烫伤膏（强列）,30040178
OTC,B8,5,曲咪新乳膏（易菲沙）,50020063
OTC,B8,6,林可霉素利多卡因凝胶（宝护伞）YF,01003039
OTC,B8,7,氧化锌软膏（时珍康）,01000103
OTC,B8,8,马应龙麝香痔疮膏,50040043
OTC,B8,9,糠酸莫米松乳膏（艾洛松）,01004596
OTC,B8,10,华佗膏（科田）,50020006
OTC,B8,11,复方倍氯米松樟脑乳膏(无极膏)（福元）,01003933
OTC,B8,12,丹皮酚软膏（舒笑）SY,01000439
OTC,B8,13,酮洛芬凝胶（法斯通）,01001049
OTC,B8,14,复方醋酸地塞米松乳膏（川石）,01009748
OTC,B8,15,红霉素软膏（辰欣）,50021450
OTC,B9,1,盐酸萘甲唑林滴鼻液（福元）,01004782
OTC,B9,2,开塞露（儿童装）（易下）,01003810
OTC,B9,3,开塞露（含甘油）（科田）DSL,01002628
OTC,B9,4,开塞露（含甘油）（辰欣）,79999965
OTC,B9,5,炉甘石洗剂（安泰邦）YK,01009789
OTC,B9,6,碘甘油（信龙）,01005595
OTC,B9,7,醋酸地塞米松口腔贴（意可贴）,01002371
OTC,B9,8,醋酸地塞米松粘贴片（意可贴）,10090033
OTC,B9,9,蜂胶口腔膜（紫竹）（ZM）,30120018
OTC,B9,10,开塞露（含甘油）（金花）(儿童),01004252
OTC,B9,11,苯扎氯铵贴（防水型）（邦迪）ds,01004079
OTC,B9,12,开塞露（含甘油）（福元/易下）,01004020
OTC,B10,1,布地奈德鼻喷雾剂（普舒顺）YW,01005187
OTC,B10,2,乌洛托品溶液（西施兰）,01004422
OTC,B10,3,炉甘石洗剂（信龙）,90011124
OTC,B10,3,碘酊（环渤淼）,01009914
OTC,B10,4,复方醋酸曲安奈德溶液（安隆）,50020174
OTC,B10,5,风油精(滚珠型)（贵珍林）SQ,02005681
OTC,B10,6,丁香风油精（叶开泰）（健民集团）,02004106
OTC,B10,7,炉甘石洗剂（嘉倍康）,01002644
OTC,B10,8,云南白药创可贴（轻巧护翼型）,50040113
OTC,B10,9,风油精（白云山）,30030063
OTC,B10,10,风油精(太平),02004763
OTC,B10,11,风油精（元典）YK,02007540
OTC,B10,12,清凉油（山虎牌）,02004435
OTC,B10,13,清凉油（元典）YK,02007357
OTC,B10,13,风油精（滚珠型）（余良卿）,02003253
OTC,B10,14,开塞露（含甘油）（石药）LJY,01004917
OTC,B10,15,开塞露（伊人）,01010070
OTC,B11,1,足光散（善举）（乐赛仙）HC,02004816
OTC,B11,2,足光散（中联）,01000763
OTC,B11,3,开塞露（含甘油）,01004699
OTC,B11,4,开塞露（含甘油）（善举）HC,01005141
OTC,B11,5,开塞露（含甘油）（维全佳）YYK,01009587
OTC,B11,6,足光散（九芝堂）,02003801
OTC,B11,7,开塞露（含甘油）（快捷克）YYK,01009586
OTC,B11,8,盐酸阿莫罗芬搽剂（楚甲）,01003369
OTC,C1,1,复方氨酚烷胺胶囊（盖克）,10025005
OTC,C1,2,银黄软胶囊（欧意）,02004023
OTC,C1,3,复方氨酚烷胺胶囊（仁和可立克）,10100161
OTC,C1,4,复方氨酚烷胺片（感叹号）,10020345
OTC,C1,5,氨酚咖那敏片（新康泰克）,01003953
OTC,C2,1,感冒软胶囊（神奇）SQ,02004043
OTC,C2,2,复方氨酚烷胺片（感康）,01002109
